project_id,note_id,date,author,note_type,content,photos_attached,weather,temp_high,temp_low
PRJ-2018-052,4e73e29f,2018-04-03,M. Chen,Daily Report,TAB contractor on site - balancing FCU loop. Initial readings: CFM within 5% of design. Adjustments: sheave change AHU.,0,Hot,68,42
PRJ-2018-052,87abdf41,2018-04-05,K. Thompson,Daily Report,Equipment startup for FCU bank west. Delayed - controls not ready. Punch list items: none.,2,Clear,94,71
PRJ-2018-052,827c070d,2018-04-10,R. Williams,Issue Log,TAB contractor on site - balancing AHU-1 supply. Initial readings: static pressure high. Adjustments: VFD reprogramming.,0,Hot,65,57
PRJ-2018-052,e4fe8697,2018-04-11,R. Williams,Inspection Note,Safety meeting held at start of shift - topic: lockout/tagout. All PPE verified. Ran refrigerant lines to condensers.,0,Rain,91,63
PRJ-2018-052,0e588da6,2018-04-13,R. Williams,Daily Report,Material issue encountered: ceiling access restricted by other trade. Resolution: Resolved on site with GC. Impact: none.,5,Rain,80,43
PRJ-2018-052,de631998,2018-04-16,R. Williams,Coordination Note,Coordination conflict encountered: ceiling access restricted by other trade. Resolution: Workaround implemented. Impact: 1 day delay.,3,Rain,92,72
PRJ-2018-052,ccc6fb40,2018-04-18,R. Williams,Safety Log,Working in mechanical room - 63% complete this zone. Remaining: insulation and startup.,1,Rain,94,54
PRJ-2018-052,3f928ff8,2018-04-19,K. Thompson,Inspection Note,Safety meeting held at start of shift - topic: hot work permits. All PPE verified. Continued ductwork installation per plan.,1,Hot,78,48
PRJ-2018-052,83e883d2,2018-04-20,K. Thompson,Inspection Note,Coordination conflict encountered: ceiling access restricted by other trade. Resolution: Resolved on site with GC. Impact: schedule neutral.,3,Cold,66,55
PRJ-2018-052,3dc029ff,2018-04-24,K. Thompson,Coordination Note,Access issue encountered: ceiling access restricted by other trade. Resolution: Resolved on site with GC. Impact: none.,4,Hot,88,70
PRJ-2018-052,cc0440d4,2018-04-25,M. Chen,Safety Log,Design discrepancy encountered: wrong size fittings delivered. Resolution: Resolved on site with GC. Impact: 1 day delay.,2,Hot,63,39
PRJ-2018-052,d4c154a8,2018-04-26,K. Thompson,Issue Log,Met with plumbing foreman re: coordination. Agreed on sequence for ceiling close-in. Action items: Awaiting revised drawings,2,Hot,56,63
PRJ-2018-052,81e5bd33,2018-04-27,M. Chen,Inspection Note,Met with drywall foreman re: coordination. Agreed on sequence for ceiling close-in. Action items: FP to adjust sprinkler head locations,4,Hot,58,36
PRJ-2018-052,6d79be58,2018-04-30,R. Williams,Issue Log,"Crew arrived 0630. Weather: Partly cloudy, 65°F. 15 workers on site. Focus today: startup AHU-2. Inspection passed.",4,Cloudy,56,72
PRJ-2018-052,c75c7843,2018-05-01,J. Martinez,Coordination Note,Safety meeting held at start of shift - topic: confined space entry. All PPE verified. Ran refrigerant lines to condensers.,0,Cloudy,99,69
PRJ-2018-052,e15f4eb7,2018-05-02,M. Chen,Issue Log,Installed 158 diffusers on floor 6. Minor punch items noted. Inspections needed: pressure test Monday.,3,Hot,92,67
PRJ-2018-052,3384c814,2018-05-03,M. Chen,Safety Log,"Safety meeting held at start of shift - topic: confined space entry. All PPE verified. Set 3 VAV boxes, awaiting controls.",4,Cold,64,41
PRJ-2018-052,3f363f5a,2018-05-07,K. Thompson,Issue Log,"GC weekly meeting - discussed change orders, RFI backlog, coordination. Schedule status: on track. RFIs pending: 12.",1,Clear,67,49
PRJ-2018-052,594b7943,2018-05-09,M. Chen,Coordination Note,Working in mechanical room - 70% complete this zone. Remaining: diffusers and connections.,3,Cold,78,63
PRJ-2018-052,2e826c4c,2018-05-10,K. Thompson,Issue Log,Safety meeting held at start of shift - topic: fall protection. All PPE verified. Ran refrigerant lines to condensers.,1,Rain,92,67
PRJ-2018-052,4a279c52,2018-05-14,J. Martinez,Daily Report,Equipment startup for FCU bank west. Successful - all parameters normal. Punch list items: none.,3,Cold,89,68
PRJ-2018-052,11c99cc1,2018-05-15,R. Williams,Inspection Note,TAB contractor on site - balancing exhaust system. Initial readings: static pressure high. Adjustments: damper repositioning.,5,Cold,57,38
PRJ-2018-052,6da00e02,05/16/2018,K. Thompson,Daily Report,Design discrepancy encountered: sprinkler head conflicts with diffuser at B-7. Resolution: RFI submitted. Impact: schedule neutral.,2,Rain,62,47
PRJ-2018-052,84121b21,2018-05-17,K. Thompson,Safety Log,Met with electrical foreman re: coordination. Resolved duct routing conflict. Action items: FP to adjust sprinkler head locations,5,Cloudy,95,64
PRJ-2018-052,e3c70823,05/18/2018,J. Martinez,Daily Report,"Safety meeting held at start of shift - topic: confined space entry. All PPE verified. Set 3 VAV boxes, awaiting controls.",3,Hot,55,40
PRJ-2018-052,2da7f4c4,2018-05-21,M. Chen,Coordination Note,Safety meeting held at start of shift - topic: hot work permits. All PPE verified. Completed piping pressure test - passed.,3,Hot,58,50
PRJ-2018-052,0fcbd510,2018-05-22,J. Martinez,Inspection Note,"Safety meeting held at start of shift - topic: fall protection. All PPE verified. Set 3 VAV boxes, awaiting controls.",2,Hot,59,58
PRJ-2018-052,ed9b36cb,2018-05-23,M. Chen,Safety Log,TAB contractor on site - balancing FCU loop. Initial readings: all zones balanced. Adjustments: none required.,5,Rain,80,49
PRJ-2018-052,3128e7db,2018-05-25,M. Chen,Issue Log,Working in mechanical room - 49% complete this zone. Remaining: insulation and startup.,5,Cloudy,63,43
PRJ-2018-052,171077c6,5/28/18,J. Martinez,Issue Log,Material issue encountered: field conditions don't match drawings. Resolution: Workaround implemented. Impact: 1 day delay.,0,Rain,80,70
PRJ-2018-052,bbed5e41,2018-05-29,R. Williams,Daily Report,Installed 85 LF of duct on floor 2. Minor punch items noted. Inspections needed: none.,5,Clear,88,43
PRJ-2018-052,ab00d2f3,2018-05-31,R. Williams,Inspection Note,Access issue encountered: ceiling access restricted by other trade. Resolution: Workaround implemented. Impact: none.,5,Hot,56,66
PRJ-2018-052,1bdc6f49,2018-06-01,K. Thompson,Coordination Note,"GC weekly meeting - discussed safety incident review, upcoming inspections, manpower. Schedule status: on track. RFIs pending: 8.",1,Rain,66,41
PRJ-2018-052,b4992af1,2018-06-05,K. Thompson,Issue Log,"Crew arrived 0700. Weather: Partly cloudy, 65°F. 4 workers on site. Focus today: equipment rigging. Waiting on RFI response to proceed.",2,Hot,99,47
PRJ-2018-052,19d83385,2018-06-06,R. Williams,Coordination Note,"GC weekly meeting - discussed change orders, RFI backlog, coordination. Schedule status: on track. RFIs pending: 8.",3,Cold,62,66
PRJ-2018-052,5b41cb6b,2018-06-07,J. Martinez,Safety Log,Met with fire protection foreman re: coordination. Agreed on sequence for ceiling close-in. Action items: FP to adjust sprinkler head locations,1,Hot,70,41
PRJ-2018-052,15a8c039,2018-06-08,K. Thompson,Issue Log,Received delivery of insulation - 18 units. Short 2 boxes - claim filed. Staged at loading dock.,4,Rain,90,50
PRJ-2018-052,e1233376,06/11/2018,J. Martinez,Daily Report,Design discrepancy encountered: wrong size fittings delivered. Resolution: Workaround implemented. Impact: none.,2,Rain,63,52
PRJ-2018-052,bebf5014,2018-06-12,J. Martinez,Issue Log,Received delivery of copper piping - 123 units. Matched PO. Staged at floor 3 staging.,2,Clear,100,36
PRJ-2018-052,59289ba6,2018-06-14,K. Thompson,Coordination Note,Installed 138 pipe hangers on floor 9. Minor punch items noted. Inspections needed: pressure test Monday.,3,Rain,70,75
PRJ-2018-052,40adf8bf,2018-06-18,J. Martinez,Issue Log,Material issue encountered: field conditions don't match drawings. Resolution: Awaiting engineer response. Impact: 1 day delay.,2,Cloudy,95,58
PRJ-2018-052,32d4ecd2,2018-06-19,R. Williams,Inspection Note,Received delivery of RTU - 199 units. Short 2 boxes - claim filed. Staged at laydown area A.,2,Clear,92,64
PRJ-2018-052,9fdff388,2018-06-20,K. Thompson,Inspection Note,TAB contractor on site - balancing AHU-1 supply. Initial readings: CFM within 5% of design. Adjustments: sheave change AHU.,1,Cloudy,55,49
PRJ-2018-052,a71bee6e,2018-06-21,R. Williams,Inspection Note,Material issue encountered: sprinkler head conflicts with diffuser at B-7. Resolution: Workaround implemented. Impact: cost impact TBD.,5,Cloudy,98,43
PRJ-2018-052,f27d63a5,2018-06-22,K. Thompson,Inspection Note,TAB contractor on site - balancing FCU loop. Initial readings: flow low on 3 boxes. Adjustments: VFD reprogramming.,5,Clear,65,69
PRJ-2018-052,d4ce2f91,2018-06-26,J. Martinez,Coordination Note,Equipment startup for RTU-1. Successful - all parameters normal. Punch list items: damper actuator adjustment.,2,Hot,84,38
PRJ-2018-052,a216337f,2018-06-28,R. Williams,Issue Log,"Safety meeting held at start of shift - topic: lockout/tagout. All PPE verified. Set 3 VAV boxes, awaiting controls.",0,Hot,90,63
PRJ-2018-052,6e852175,2018-06-29,K. Thompson,Coordination Note,Met with electrical foreman re: coordination. Resolved duct routing conflict. Action items: Awaiting revised drawings,5,Cold,100,52
PRJ-2018-052,55433d82,2018-07-03,R. Williams,Daily Report,Installed 67 diffusers on floor 3. Rework required grid C-4. Inspections needed: none.,0,Cloudy,70,68
PRJ-2018-052,90e6eb1a,2018-07-04,R. Williams,Issue Log,Installed 126 diffusers on floor 11. Minor punch items noted. Inspections needed: pressure test Monday.,4,Rain,79,65
PRJ-2018-052,1c0eeaf3,2018-07-05,K. Thompson,Issue Log,Coordination conflict encountered: sprinkler head conflicts with diffuser at B-7. Resolution: Resolved on site with GC. Impact: 1 day delay.,0,Cold,74,51
PRJ-2018-052,8de57f1b,7/6/18,J. Martinez,Safety Log,Working in floors 4-6 - 62% complete this zone. Remaining: controls terminations.,3,Clear,86,67
PRJ-2018-052,4ec76344,7/10/18,R. Williams,Daily Report,"GC weekly meeting - discussed safety incident review, upcoming inspections, manpower. Schedule status: ahead 2 days. RFIs pending: 12.",1,Clear,71,60
PRJ-2018-052,9ba87e89,7/12/18,R. Williams,Safety Log,Equipment startup for RTU-1. Minor vibration issue - balancing tomorrow. Punch list items: 3 minor items.,4,Cloudy,76,46
PRJ-2018-052,75ee958d,2018-07-13,R. Williams,Safety Log,"GC weekly meeting - discussed change orders, RFI backlog, coordination. Schedule status: on track. RFIs pending: 11.",1,Cold,76,49
PRJ-2018-052,f70a0197,2018-07-16,R. Williams,Safety Log,Received delivery of copper piping - 147 units. Matched PO. Staged at mechanical room.,3,Hot,74,49
PRJ-2018-052,3247889f,2018-07-17,R. Williams,Safety Log,"Crew arrived 0700. Weather: Partly cloudy, 65°F. 12 workers on site. Focus today: ductwork installation Floor 3. Behind schedule due to material delay.",4,Cold,69,74
PRJ-2018-052,0f704bf2,2018-07-18,M. Chen,Issue Log,"GC weekly meeting - discussed safety incident review, upcoming inspections, manpower. Schedule status: critical - recovery plan in place. RFIs pending: 3.",5,Hot,79,54
PRJ-2018-052,23cf3ba3,2018-07-20,K. Thompson,Safety Log,"Safety meeting held at start of shift - topic: ladder safety. All PPE verified. Set 3 VAV boxes, awaiting controls.",2,Rain,100,45
PRJ-2018-052,71468be8,2018-07-25,K. Thompson,Daily Report,"Crew arrived 0600. Weather: Cold, 35°F. 5 workers on site. Focus today: startup AHU-2. Inspection passed.",4,Hot,81,48
PRJ-2018-052,98933cc0,2018-07-31,J. Martinez,Coordination Note,"Safety meeting held at start of shift - topic: fall protection. All PPE verified. Set 3 VAV boxes, awaiting controls.",2,Hot,69,66
PRJ-2018-052,d6442c45,2018-08-01,K. Thompson,Inspection Note,Equipment startup for AHU-2. Successful - all parameters normal. Punch list items: damper actuator adjustment.,5,Hot,100,45
PRJ-2018-052,79f256da,2018-08-03,J. Martinez,Coordination Note,Met with plumbing foreman re: coordination. Resolved duct routing conflict. Action items: FP to adjust sprinkler head locations,3,Rain,77,75
PRJ-2018-052,3bf4d4ec,2018-08-06,J. Martinez,Inspection Note,Received delivery of sheet metal - 147 units. Short 2 boxes - claim filed. Staged at loading dock.,3,Rain,70,71
PRJ-2018-052,e7497488,2018-08-07,R. Williams,Daily Report,Working in penthouse - 80% complete this zone. Remaining: diffusers and connections.,4,Hot,87,65
PRJ-2018-052,9bdf18df,2018-08-08,J. Martinez,Inspection Note,TAB contractor on site - balancing FCU loop. Initial readings: CFM within 5% of design. Adjustments: damper repositioning.,1,Hot,69,64
PRJ-2018-052,b3299c71,8/10/18,J. Martinez,Safety Log,Equipment startup for AHU-2. Successful - all parameters normal. Punch list items: damper actuator adjustment.,0,Hot,93,51
PRJ-2018-052,a5b935fe,2018-08-13,K. Thompson,Coordination Note,Installed 153 pipe hangers on floor 2. Minor punch items noted. Inspections needed: none.,1,Clear,99,75
PRJ-2018-052,36888708,2018-08-14,J. Martinez,Inspection Note,Equipment startup for Chiller. Successful - all parameters normal. Punch list items: 3 minor items.,0,Rain,100,56
PRJ-2018-052,884a8777,2018-08-15,J. Martinez,Coordination Note,Received delivery of insulation - 182 units. All accounted for. Staged at loading dock.,3,Hot,77,53
PRJ-2018-052,dcfed7c8,2018-08-17,M. Chen,Daily Report,"GC weekly meeting - discussed change orders, RFI backlog, coordination. Schedule status: ahead 2 days. RFIs pending: 2.",5,Cold,82,64
PRJ-2018-052,f00e387c,2018-08-20,M. Chen,Safety Log,TAB contractor on site - balancing AHU-1 supply. Initial readings: all zones balanced. Adjustments: sheave change AHU.,3,Clear,91,51
PRJ-2018-052,8c84dfcf,08/22/2018,R. Williams,Inspection Note,"Crew arrived 0600. Weather: Partly cloudy, 65°F. 4 workers on site. Focus today: piping rough-in mechanical room. Waiting on RFI response to proceed.",5,Hot,61,53
PRJ-2018-052,cdf99e65,2018-08-27,R. Williams,Coordination Note,Received delivery of copper piping - 49 units. All accounted for. Staged at mechanical room.,1,Cold,81,51
PRJ-2018-052,d5bebd76,2018-08-28,K. Thompson,Issue Log,Working in Zone 3 - 95% complete this zone. Remaining: controls terminations.,0,Hot,99,48
PRJ-2018-052,e2e38130,2018-08-29,K. Thompson,Issue Log,Material issue encountered: wrong size fittings delivered. Resolution: RFI submitted. Impact: schedule neutral.,0,Clear,87,50
PRJ-2018-052,ad25897b,2018-08-30,K. Thompson,Coordination Note,"GC weekly meeting - discussed safety incident review, upcoming inspections, manpower. Schedule status: on track. RFIs pending: 4.",0,Rain,64,67
PRJ-2018-052,90c8d01a,2018-08-31,R. Williams,Daily Report,Installed 95 VAV boxes on floor 6. Minor punch items noted. Inspections needed: pressure test Monday.,2,Cloudy,79,71
PRJ-2018-052,36249b5a,2018-09-03,R. Williams,Issue Log,Received delivery of sheet metal - 142 units. Matched PO. Staged at loading dock.,2,Rain,67,48
PRJ-2018-052,4f9c8935,2018-09-04,M. Chen,Daily Report,Safety meeting held at start of shift - topic: ladder safety. All PPE verified. Ran refrigerant lines to condensers.,3,Cloudy,66,41
PRJ-2018-052,6eb1c65e,2018-09-05,M. Chen,Daily Report,TAB contractor on site - balancing exhaust system. Initial readings: CFM within 5% of design. Adjustments: damper repositioning.,3,Rain,75,72
PRJ-2018-052,5cdf5672,2018-09-07,J. Martinez,Daily Report,Installed 42 diffusers on floor 9. Rework required grid C-4. Inspections needed: rough-in Friday.,0,Clear,77,71
PRJ-2018-052,12085e88,2018-09-11,M. Chen,Issue Log,Installed 147 VAV boxes on floor 9. Rework required grid C-4. Inspections needed: pressure test Monday.,2,Clear,59,50
PRJ-2018-052,41445f3c,2018-09-13,M. Chen,Coordination Note,"GC weekly meeting - discussed change orders, RFI backlog, coordination. Schedule status: on track. RFIs pending: 12.",4,Clear,76,68
PRJ-2018-052,ec7e8388,2018-09-14,K. Thompson,Daily Report,Received delivery of sheet metal - 94 units. Matched PO. Staged at loading dock.,3,Clear,73,68
PRJ-2018-052,63ae78a1,2018-09-17,K. Thompson,Daily Report,"Crew arrived 0630. Weather: Partly cloudy, 65°F. 8 workers on site. Focus today: controls wiring. Coordination issues with electrical - resolved on site.",5,Clear,59,71
PRJ-2018-052,22da70fb,2018-09-18,M. Chen,Coordination Note,Working in Zone 3 - 86% complete this zone. Remaining: controls terminations.,5,Hot,67,58
PRJ-2018-052,105316ff,2018-09-19,J. Martinez,Daily Report,Working in floors 4-6 - 92% complete this zone. Remaining: diffusers and connections.,3,Hot,70,68
PRJ-2018-052,4d8e21cd,2018-09-20,M. Chen,Safety Log,Installed 69 VAV boxes on floor 8. Minor punch items noted. Inspections needed: none.,3,Clear,65,55
PRJ-2018-052,4528fb0a,2018-09-21,K. Thompson,Coordination Note,TAB contractor on site - balancing VAV system floor 2. Initial readings: static pressure high. Adjustments: none required.,3,Hot,80,64
PRJ-2018-052,ff78ff7b,2018-09-24,J. Martinez,Daily Report,Met with electrical foreman re: coordination. Resolved duct routing conflict. Action items: HVAC to relocate diffuser 6 inches east,2,Clear,58,67
PRJ-2018-052,47f4498d,2018-09-25,K. Thompson,Safety Log,Installed 174 LF of duct on floor 8. Passed QC inspection. Inspections needed: none.,2,Clear,60,36
PRJ-2018-052,9241fe7c,2018-09-26,R. Williams,Inspection Note,"Crew arrived 0700. Weather: Hot, 95°F - heat protocol. 13 workers on site. Focus today: insulation west side. Behind schedule due to material delay.",2,Hot,88,43
PRJ-2018-052,6bed86fb,2018-09-27,J. Martinez,Inspection Note,Met with drywall foreman re: coordination. Scheduled joint walkthrough Friday. Action items: Awaiting revised drawings,1,Cloudy,58,56
PRJ-2018-052,710a44a9,2018-10-02,R. Williams,Coordination Note,Met with electrical foreman re: coordination. Agreed on sequence for ceiling close-in. Action items: Awaiting revised drawings,0,Clear,68,39
PRJ-2018-052,0e9fec1f,10/3/18,M. Chen,Coordination Note,Working in mechanical room - 52% complete this zone. Remaining: controls terminations.,4,Hot,82,51
PRJ-2018-052,c3ed2458,2018-10-04,R. Williams,Coordination Note,Design discrepancy encountered: field conditions don't match drawings. Resolution: Awaiting engineer response. Impact: cost impact TBD.,5,Rain,78,35
PRJ-2018-052,0ce9817c,2018-10-05,M. Chen,Safety Log,Equipment startup for RTU-1. Minor vibration issue - balancing tomorrow. Punch list items: 3 minor items.,4,Clear,67,50
PRJ-2018-052,cc9e314c,10/11/18,M. Chen,Issue Log,Received delivery of RTU - 122 units. All accounted for. Staged at floor 3 staging.,4,Rain,88,63
PRJ-2018-052,15a85e7a,2018-10-12,J. Martinez,Coordination Note,Installed 177 pipe hangers on floor 8. Rework required grid C-4. Inspections needed: none.,2,Clear,76,58
PRJ-2018-052,c61ca358,2018-10-15,M. Chen,Coordination Note,Received delivery of VAV boxes - 168 units. All accounted for. Staged at loading dock.,0,Cold,84,48
PRJ-2018-052,bf332ea2,2018-10-16,J. Martinez,Daily Report,Received delivery of VAV boxes - 130 units. Short 2 boxes - claim filed. Staged at laydown area A.,3,Hot,68,63
PRJ-2018-052,320ca419,10/17/18,M. Chen,Issue Log,TAB contractor on site - balancing AHU-1 supply. Initial readings: all zones balanced. Adjustments: none required.,2,Clear,56,52
PRJ-2018-052,2c64e650,2018-10-18,M. Chen,Coordination Note,Working in penthouse - 58% complete this zone. Remaining: final connections.,3,Clear,72,36
PRJ-2018-052,44253892,10/22/18,M. Chen,Daily Report,Installed 145 pipe hangers on floor 10. Passed QC inspection. Inspections needed: none.,5,Hot,59,55
PRJ-2018-052,61c82189,2018-10-23,M. Chen,Coordination Note,Met with fire protection foreman re: coordination. Scheduled joint walkthrough Friday. Action items: Awaiting revised drawings,1,Cloudy,66,75
PRJ-2018-052,8d6f81f4,2018-10-24,K. Thompson,Coordination Note,Received delivery of RTU - 172 units. All accounted for. Staged at mechanical room.,1,Clear,57,52
PRJ-2018-052,9ebd74f8,10/26/18,M. Chen,Coordination Note,TAB contractor on site - balancing FCU loop. Initial readings: flow low on 3 boxes. Adjustments: VFD reprogramming.,2,Hot,80,36
PRJ-2018-052,1b52452e,2018-10-29,K. Thompson,Daily Report,Received delivery of insulation - 69 units. Short 2 boxes - claim filed. Staged at laydown area A.,1,Hot,70,46
PRJ-2018-052,c43c71b8,2018-10-31,J. Martinez,Inspection Note,Received delivery of RTU - 57 units. Short 2 boxes - claim filed. Staged at mechanical room.,1,Clear,97,58
PRJ-2018-052,d1dce8cb,2018-11-01,K. Thompson,Coordination Note,TAB contractor on site - balancing exhaust system. Initial readings: CFM within 5% of design. Adjustments: VFD reprogramming.,0,Cold,96,36
PRJ-2018-052,5b575285,2018-11-07,R. Williams,Safety Log,Safety meeting held at start of shift - topic: fall protection. All PPE verified. Ran refrigerant lines to condensers.,4,Clear,99,75
PRJ-2018-052,4e2e7da8,2018-11-08,R. Williams,Issue Log,"Crew arrived 0700. Weather: Hot, 95°F - heat protocol. 8 workers on site. Focus today: hanging VAV boxes wing B. Coordination issues with electrical - resolved on site.",5,Cloudy,66,59
PRJ-2018-052,8b20aad0,2018-11-09,M. Chen,Coordination Note,Met with electrical foreman re: coordination. Agreed on sequence for ceiling close-in. Action items: FP to adjust sprinkler head locations,2,Cold,79,57
PRJ-2018-052,348d7cba,2018-11-13,K. Thompson,Coordination Note,Equipment startup for Boiler. Minor vibration issue - balancing tomorrow. Punch list items: sensor calibration.,3,Cloudy,55,48
PRJ-2018-052,90859c4b,2018-11-14,R. Williams,Inspection Note,"Crew arrived 0630. Weather: Cold, 35°F. 14 workers on site. Focus today: equipment rigging. Ahead of plan.",0,Clear,55,36
PRJ-2018-052,f778f98b,2018-11-15,K. Thompson,Issue Log,Installed 177 diffusers on floor 4. Minor punch items noted. Inspections needed: rough-in Friday.,0,Rain,58,72
PRJ-2018-052,e6ca0208,2018-11-16,R. Williams,Coordination Note,Equipment startup for RTU-1. Delayed - controls not ready. Punch list items: 3 minor items.,0,Cold,85,66
PRJ-2018-052,39c78061,2018-11-19,M. Chen,Daily Report,"GC weekly meeting - discussed safety incident review, upcoming inspections, manpower. Schedule status: on track. RFIs pending: 12.",2,Cold,68,75
PRJ-2018-052,08f500aa,2018-11-20,K. Thompson,Safety Log,Working in Zone 3 - 83% complete this zone. Remaining: insulation and startup.,5,Cloudy,82,59
PRJ-2018-052,dbed8bff,2018-11-21,M. Chen,Coordination Note,"GC weekly meeting - discussed schedule recovery, material lead times, inspections. Schedule status: on track. RFIs pending: 11.",2,Cold,93,73
PRJ-2018-052,f3a2309b,11/27/2018,K. Thompson,Issue Log,Installed 75 pipe hangers on floor 13. Minor punch items noted. Inspections needed: pressure test Monday.,4,Clear,80,55
PRJ-2018-052,bd272060,2018-11-28,K. Thompson,Safety Log,TAB contractor on site - balancing AHU-1 supply. Initial readings: static pressure high. Adjustments: sheave change AHU.,0,Rain,64,66
PRJ-2018-052,22e062ba,2018-11-29,R. Williams,Issue Log,Equipment startup for FCU bank west. Minor vibration issue - balancing tomorrow. Punch list items: none.,3,Cloudy,92,36
PRJ-2018-052,ae878d97,2018-12-03,M. Chen,Safety Log,"GC weekly meeting - discussed change orders, RFI backlog, coordination. Schedule status: ahead 2 days. RFIs pending: 8.",2,Hot,83,72
PRJ-2018-052,373b6c6c,2018-12-04,J. Martinez,Safety Log,TAB contractor on site - balancing FCU loop. Initial readings: all zones balanced. Adjustments: sheave change AHU.,2,Cold,97,45
PRJ-2018-052,3ebeb98f,12/5/18,M. Chen,Safety Log,Met with fire protection foreman re: coordination. Scheduled joint walkthrough Friday. Action items: HVAC to relocate diffuser 6 inches east,0,Clear,94,45
PRJ-2018-052,db173b01,12/7/18,J. Martinez,Daily Report,Working in basement - 84% complete this zone. Remaining: diffusers and connections.,4,Cloudy,63,42
PRJ-2018-052,2796dd02,2018-12-10,J. Martinez,Daily Report,Working in Zone 3 - 74% complete this zone. Remaining: final connections.,5,Clear,64,36
PRJ-2018-052,f5964dc4,2018-12-17,R. Williams,Inspection Note,Safety meeting held at start of shift - topic: PPE requirements. All PPE verified. Completed piping pressure test - passed.,0,Clear,64,57
PRJ-2018-052,23549fad,2018-12-19,R. Williams,Issue Log,TAB contractor on site - balancing exhaust system. Initial readings: all zones balanced. Adjustments: none required.,3,Cold,99,45
PRJ-2018-052,05430fc8,2018-12-21,K. Thompson,Daily Report,Design discrepancy encountered: field conditions don't match drawings. Resolution: RFI submitted. Impact: schedule neutral.,4,Cold,61,37
PRJ-2018-052,0ca64e15,2018-12-24,K. Thompson,Safety Log,"GC weekly meeting - discussed safety incident review, upcoming inspections, manpower. Schedule status: on track. RFIs pending: 8.",4,Cloudy,93,36
PRJ-2018-052,b3f4cdd5,2018-12-25,J. Martinez,Issue Log,Met with fire protection foreman re: coordination. Resolved duct routing conflict. Action items: Awaiting revised drawings,1,Clear,81,67
PRJ-2018-052,0afeabcc,2018-12-28,J. Martinez,Coordination Note,"Safety meeting held at start of shift - topic: ladder safety. All PPE verified. Set 3 VAV boxes, awaiting controls.",1,Cloudy,91,60
PRJ-2018-052,358f6c2e,2018-12-31,M. Chen,Issue Log,Installed 182 LF of duct on floor 9. Minor punch items noted. Inspections needed: pressure test Monday.,5,Rain,95,66
